Attaching 317 probes...
Tracing syscalls for something. Ctrl-C to stop.
TIME      PID    EVENT 
7308078 µs:   11523  gunzip     tracepoint:syscalls:sys_enter_rt_sigprocmask [4] arg0:0 arg1:(nil) arg2:0x55b308645808 arg3:8 
7308100 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_openat [4] arg0:-100 arg1:0x55b3089afae0 arg2:0 arg3:0 
7308115 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089afae0 arg1:0x7ffc2e716000 
7308126 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_ioctl [3] arg0:3 arg1:21505 arg2:779182096 
7308136 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:0 arg2:1 
7308143 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:3 arg1:0x7ffc2e716170 arg2:80 
7308151 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:3 arg1:0 arg2:0 
7308157 µs:   11523  gunzip          tracepoint:syscalls:sys_enter_prlimit64 [4] arg0:0 arg1:7 arg2:(nil) arg3:0x7ffc2e716040 
7308164 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_fcntl [3] arg0:255 arg1:1 arg2:779182196 
7308171 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_dup2 [2] arg0:3 arg1:255 
7308180 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_close [1] arg0:3 
7308187 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_fcntl [3] arg0:255 arg1:2 arg2:1 
7308194 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_fcntl [3] arg0:255 arg1:3 arg2:0 
7308200 µs:   11523  gunzip           tracepoint:syscalls:sys_enter_newfstat [2] arg0:255 arg1:0x7ffc2e715fc0 
7308207 µs:   11523  gunzip              tracepoint:syscalls:sys_enter_lseek [3] arg0:255 arg1:0 arg2:1 
7308220 µs:   11523  gunzip               tracepoint:syscalls:sys_enter_read [3] arg0:255 arg1:0x55b3089afbf0 arg2:2346 
7308583 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3086071ab arg1:0x7ffc2e715d20 
7308599 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089b27c0 arg1:0x7ffc2e715c10 
7308609 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089b4940 arg1:0x7ffc2e715c10 
7308618 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089b4940 arg1:0x7ffc2e715c10 
7308627 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089b4940 arg1:0x7ffc2e715b30 
7308635 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
7308642 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
7308649 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
7308656 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
7308664 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x55b3089b4940 arg1:1 
7308674 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089b4940 arg1:0x7ffc2e715b30 
7308681 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
7308687 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
7308693 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
7308700 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
7308706 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x55b3089b4940 arg1:4 
7308714 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089b4940 arg1:0x7ffc2e715c40 
7308722 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089b4940 arg1:0x7ffc2e715b60 
7308729 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
7308736 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
7308742 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
7308749 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
7308755 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x55b3089b4940 arg1:1 
7308763 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_newstat [2] arg0:0x55b3089b4940 arg1:0x7ffc2e715b60 
7308770 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_geteuid [0] 
7308776 µs:   11523  gunzip            tracepoint:syscalls:sys_enter_getegid [0] 
7308782 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getuid [0] 
7308788 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_getgid [0] 
7308795 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_access [2] arg0:0x55b3089b4940 arg1:4 
7308848 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:2 arg1:0x7ffc2e715b50 arg2:0x7ffc2e715bf0 arg3:8 
7308859 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:3 arg1:0x7ffc2e715b50 arg2:0x7ffc2e715bf0 arg3:8 
7308865 µs:   11523  gunzip       tracepoint:syscalls:sys_enter_rt_sigaction [4] arg0:17 arg1:0x7ffc2e715b50 arg2:0x7ffc2e715bf0 arg3:8 
7308873 µs:   11523  gunzip             tracepoint:syscalls:sys_enter_execve [3] arg0:0x55b3089b2770 arg1:0x55b3089b3a30 arg2:0x55b3089ae140 


@start: 29481221484390


